trade_id,timestamp,datetime,asset,direction,amount,expiry,pnl,balance_before,balance_after,outcome,hour,day_of_week
13907631588,2026-05-18T20:07:00.606293,2026-05-18 20:07:00.606293,EURUSD-OTC,put,77.15,1,-77.0,3857.45,3780.45,loss,20,Monday
13907634643,2026-05-18T20:08:01.011388,2026-05-18 20:08:01.011388,EURUSD-OTC,call,75.61,1,-75.0,3780.45,3705.45,loss,20,Monday
13907642145,2026-05-18T20:11:00.633956,2026-05-18 20:11:00.633956,EURUSD-OTC,put,74.11,1,63.63999999999999,3705.45,3769.09,win,20,Monday
13907644964,2026-05-18T20:12:00.933199,2026-05-18 20:12:00.933199,EURUSD-OTC,put,75.38,1,64.5,3769.09,3833.59,win,20,Monday
13907647820,2026-05-18T20:13:00.531774,2026-05-18 20:13:00.531774,EURUSD-OTC,put,76.67,1,-76.0,3833.59,3757.59,loss,20,Monday
13907650419,2026-05-18T20:14:00.487942,2026-05-18 20:14:00.487942,EURUSD-OTC,call,75.15,1,-75.0,3757.59,3682.59,loss,20,Monday
13907659117,2026-05-18T20:17:00.581946,2026-05-18 20:17:00.581946,EURUSD-OTC,put,72.19,1,61.91999999999999,3609.59,3671.51,win,20,Monday
13907745031,2026-05-18T20:47:00.780243,2026-05-18 20:47:00.780243,EURUSD-OTC,call,71.97,1,-71.0,3598.51,3527.51,loss,20,Monday
13907747760,2026-05-18T20:48:00.930416,2026-05-18 20:48:00.930416,EURUSD-OTC,put,70.55,1,0.0,3527.51,3527.51,draw,20,Monday
13907751007,2026-05-18T20:49:00.723404,2026-05-18 20:49:00.723404,EURUSD-OTC,put,70.55,1,-70.0,3527.51,3457.51,loss,20,Monday
13907762546,2026-05-18T20:53:00.619394,2026-05-18 20:53:00.619394,EURUSD-OTC,put,6.92,1,-6.0,3457.51,3451.51,loss,20,Monday
13907765174,2026-05-18T20:54:00.536851,2026-05-18 20:54:00.536851,EURUSD-OTC,call,6.9,1,5.16,3451.51,3456.67,win,20,Monday
13907784981,2026-05-18T21:01:00.653204,2026-05-18 21:01:00.653204,EURUSD-OTC,put,6.87,1,5.16,3432.67,3437.83,win,21,Monday
13907810806,2026-05-18T21:10:00.778264,2026-05-18 21:10:00.778264,EURUSD-OTC,call,6.85,1,5.16,3425.83,3430.99,win,21,Monday
13907813826,2026-05-18T21:11:00.439105,2026-05-18 21:11:00.439105,EURUSD-OTC,call,6.86,1,-6.0,3430.99,3424.99,loss,21,Monday
13907819460,2026-05-18T21:13:01.060015,2026-05-18 21:13:01.060015,EURUSD-OTC,put,6.86,1,5.16,3430.15,3435.31,win,21,Monday
13907822759,2026-05-18T21:14:00.503683,2026-05-18 21:14:00.503683,EURUSD-OTC,call,6.87,1,5.16,3435.31,3440.47,win,21,Monday
